p_id,p_id2,distance
1mqn,1hgh,0.173
1mqn,1hgi,0.179
1mqn,1hgj,0.179
1mqn,1jsd,0.371
1mqn,1jsh,0.371
1mqn,1jsi,0.387
1mqn,1jsm,0.551
1mqn,1jsn,0.548
1mqn,1jso,0.542
1mqn,1ken,0.195
1mqn,1mql,0.173
1mqn,1mqm,0.045
1mqn,1mqn,0.000
1qfu,1eo8,0.100
1qfu,1ha0,0.045
1qfu,1hgd,0.000
1qfu,1hge,0.000
1qfu,1hgf,0.077
1qfu,1hgg,0.045
1qfu,1hgh,0.000
1qfu,1hgi,0.045
1qfu,1hgj,0.045
1qfu,1jsd,0.268
1qfu,1jsh,0.268
1qfu,1jsi,0.290
1qfu,1jsm,0.539
1qfu,1jsn,0.525
1qfu,1jso,0.529
1qfu,1ken,0.077
1qfu,1mql,0.063
1qfu,1mqm,0.210
1qfu,1mqn,0.195
1qfu,1qfu,0.000
1rd8,1eo8,0.574
1rd8,1ha0,0.520
1rd8,1hgd,0.465
1rd8,1hge,0.460
1rd8,1hgf,0.551
1rd8,1hgg,0.510
1rd8,1hgh,0.508
1rd8,1hgi,0.506
1rd8,1hgj,0.516
1rd8,1jsd,0.595
1rd8,1jsh,0.585
1rd8,1jsi,0.598
1rd8,1jsm,0.100
1rd8,1jsn,0.100
1rd8,1jso,0.100
1rd8,1ken,0.553
1rd8,1mql,0.494
1rd8,1mqm,0.514
1rd8,1mqn,0.514
1rd8,1qfu,0.488
1rd8,1rd8,0.000
1ru7,1eo8,1.027
1ru7,1ha0,1.015
1ru7,1hgd,0.959
1ru7,1hge,0.957
1ru7,1hgf,0.997
1ru7,1hgg,0.972
1ru7,1hgh,0.972
1ru7,1hgi,0.964
1ru7,1hgj,0.973
1ru7,1jsd,1.221
1ru7,1jsh,1.218
1ru7,1jsi,1.231
1ru7,1jsm,1.018
1ru7,1jsn,1.015
1ru7,1jso,1.015
1ru7,1ken,1.039
1ru7,1mql,0.961
1ru7,1mqm,0.989
1ru7,1mqn,0.985
1ru7,1qfu,0.994
1ru7,1rd8,1.023
1ru7,1ru7,0.000
1rvt,1eo8,0.631
1rvt,1ha0,0.571
1rvt,1hgd,0.518
1rvt,1hge,0.516
1rvt,1hgf,0.613
1rvt,1hgg,0.564
1rvt,1hgh,0.562
1rvt,1hgi,0.559
1rvt,1hgj,0.569
1rvt,1jsd,0.713
1rvt,1jsh,0.701
1rvt,1jsi,0.717
1rvt,1jsm,0.118
1rvt,1jsn,0.110
1rvt,1jso,0.118
1rvt,1ken,0.623
1rvt,1mql,0.533
1rvt,1mqm,0.555
1rvt,1mqn,0.555
1rvt,1qfu,0.540
1rvt,1rd8,0.167
1rvt,1ru7,0.933
1rvt,1rvt,0.000
1rvx,1eo8,1.099
1rvx,1ha0,1.109
1rvx,1hgd,1.061
1rvx,1hge,1.061
1rvx,1hgf,1.083
1rvx,1hgg,1.065
1rvx,1hgh,1.068
1rvx,1hgi,1.058
1rvx,1hgj,1.065
1rvx,1jsd,1.295
1rvx,1jsh,1.295
1rvx,1jsi,1.306
1rvx,1jsm,1.138
1rvx,1jsn,1.133
1rvx,1jso,1.136
1rvx,1ken,1.127
1rvx,1mql,1.066
1rvx,1mqm,1.088
1rvx,1mqn,1.085
1rvx,1qfu,1.084
1rvx,1rd8,1.136
1rvx,1ru7,0.184
1rvx,1rvt,1.072
1rvx,1rvx,0.000
1rvz,1eo8,0.935
1rvz,1ha0,0.927
1rvz,1hgd,0.882
1rvz,1hge,0.881
1rvz,1hgf,0.910
1rvz,1hgg,0.889
1rvz,1hgh,0.889
1rvz,1hgi,0.881
1rvz,1hgj,0.889
1rvz,1jsd,1.131
1rvz,1jsh,1.130
1rvz,1jsi,1.144
1rvz,1jsm,0.994
1rvz,1jsn,0.991
1rvz,1jso,0.991
1rvz,1ken,0.948
1rvz,1mql,0.880
1rvz,1mqm,0.911
1rvz,1mqn,0.907
1rvz,1qfu,0.912
1rvz,1rd8,0.991
1rvz,1ru7,0.161
1rvz,1rvt,0.920
1rvz,1rvx,0.210
1rvz,1rvz,0.000
1ti8,1eo8,0.346
1ti8,1ha0,0.283
1ti8,1hgd,0.228
1ti8,1hge,0.228
1ti8,1hgf,0.322
1ti8,1hgg,0.268
1ti8,1hgh,0.268
1ti8,1hgi,0.261
1ti8,1hgj,0.276
1ti8,1jsd,0.498
1ti8,1jsh,0.492
1ti8,1jsi,0.512
1ti8,1jsm,0.392
1ti8,1jsn,0.382
1ti8,1jso,0.385
1ti8,1ken,0.338
1ti8,1mql,0.228
1ti8,1mqm,0.268
1ti8,1mqn,0.261
1ti8,1qfu,0.253
1ti8,1rd8,0.387
1ti8,1ru7,0.883
1ti8,1rvt,0.369
1ti8,1rvx,0.990
1ti8,1rvz,0.816
1ti8,1ti8,0.000
2fk0,1eo8,0.395
2fk0,1ha0,0.329
2fk0,1hgd,0.272
2fk0,1hge,0.272
2fk0,1hgf,0.374
2fk0,1hgg,0.322
2fk0,1hgh,0.319
2fk0,1hgi,0.316
2fk0,1hgj,0.329
2fk0,1jsd,0.498
2fk0,1jsh,0.492
2fk0,1jsi,0.510
2fk0,1jsm,0.276
2fk0,1jsn,0.261
2fk0,1jso,0.265
2fk0,1ken,0.377
2fk0,1mql,0.276
2fk0,1mqm,0.355
2fk0,1mqn,0.346
2fk0,1qfu,0.297
2fk0,1rd8,0.261
2fk0,1ru7,0.906
2fk0,1rvt,0.283
2fk0,1rvx,1.008
2fk0,1rvz,0.850
2fk0,1ti8,0.134
2fk0,2fk0,0.000
2hmg,1eo8,0.077
2hmg,1ha0,0.077
2hmg,1hgd,0.110
2hmg,1hge,0.110
2hmg,1hgf,0.063
2hmg,1hgg,0.063
2hmg,1hgh,0.063
2hmg,1hgi,0.063
2hmg,1hgj,0.063
2hmg,1jsd,0.290
2hmg,1jsh,0.290
2hmg,1jsi,0.310
2hmg,1jsm,0.623
2hmg,1jsn,0.610
2hmg,1jso,0.613
2hmg,1ken,0.089
2hmg,1mql,0.089
2hmg,1mqm,0.228
2hmg,1mqn,0.214
2hmg,1qfu,0.089
2hmg,1rd8,0.564
2hmg,1ru7,0.966
2hmg,1rvt,0.605
2hmg,1rvx,1.054
2hmg,1rvz,0.877
2hmg,1ti8,0.297
2hmg,2fk0,0.361
2hmg,2hmg,0.000
2ibx,1eo8,0.400
2ibx,1ha0,0.341
2ibx,1hgd,0.279
2ibx,1hge,0.279
2ibx,1hgf,0.377
2ibx,1hgg,0.326
2ibx,1hgh,0.322
2ibx,1hgi,0.316
2ibx,1hgj,0.332
2ibx,1jsd,0.537
2ibx,1jsh,0.531
2ibx,1jsi,0.550
2ibx,1jsm,0.335
2ibx,1jsn,0.322
2ibx,1jso,0.326
2ibx,1ken,0.390
2ibx,1mql,0.286
2ibx,1mqm,0.338
2ibx,1mqn,0.335
2ibx,1qfu,0.307
2ibx,1rd8,0.341
2ibx,1ru7,0.880
2ibx,1rvt,0.326
2ibx,1rvx,0.983
2ibx,1rvz,0.815
2ibx,1ti8,0.089
2ibx,2fk0,0.089
2ibx,2hmg,0.358
2ibx,2ibx,0.000
2viu,1eo8,0.063
2viu,1ha0,0.000
2viu,1hgd,0.063
2viu,1hge,0.063
2viu,1hgf,0.045
2viu,1hgg,0.045
2viu,1hgh,0.045
2viu,1hgi,0.045
2viu,1hgj,0.000
2viu,1jsd,0.237
2viu,1jsh,0.241
2viu,1jsi,0.257
2viu,1jsm,0.580
2viu,1jsn,0.566
2viu,1jso,0.569
2viu,1ken,0.045
2viu,1mql,0.089
2viu,1mqm,0.195
2viu,1mqn,0.190
2viu,1qfu,0.045
2viu,1rd8,0.522
2viu,1ru7,1.021
2viu,1rvt,0.576
2viu,1rvx,1.114
2viu,1rvz,0.936
2viu,1ti8,0.293
2viu,2fk0,0.341
2viu,2hmg,0.077
2viu,2ibx,0.352
2viu,2viu,0.000
2wr0,1eo8,0.531
2wr0,1ha0,0.471
2wr0,1hgd,0.415
2wr0,1hge,0.412
2wr0,1hgf,0.510
2wr0,1hgg,0.458
2wr0,1hgh,0.456
2wr0,1hgi,0.449
2wr0,1hgj,0.465
2wr0,1jsd,0.665
2wr0,1jsh,0.660
2wr0,1jsi,0.677
2wr0,1jsm,0.268
2wr0,1jsn,0.257
2wr0,1jso,0.261
2wr0,1ken,0.520
2wr0,1mql,0.422
2wr0,1mqm,0.463
2wr0,1mqn,0.458
2wr0,1qfu,0.440
2wr0,1rd8,0.316
2wr0,1ru7,0.846
2wr0,1rvt,0.228
2wr0,1rvx,0.962
2wr0,1rvz,0.799
2wr0,1ti8,0.214
2wr0,2fk0,0.173
2wr0,2hmg,0.488
2wr0,2ibx,0.141
2wr0,2viu,0.486
2wr0,2wr0,0.000
2wr1,1eo8,0.548
2wr1,1ha0,0.486
2wr1,1hgd,0.429
2wr1,1hge,0.427
2wr1,1hgf,0.525
2wr1,1hgg,0.473
2wr1,1hgh,0.471
2wr1,1hgi,0.465
2wr1,1hgj,0.480
2wr1,1jsd,0.680
2wr1,1jsh,0.672
2wr1,1jsi,0.690
2wr1,1jsm,0.249
2wr1,1jsn,0.241
2wr1,1jso,0.245
2wr1,1ken,0.539
2wr1,1mql,0.436
2wr1,1mqm,0.471
2wr1,1mqn,0.467
2wr1,1qfu,0.456
2wr1,1rd8,0.290
2wr1,1ru7,0.805
2wr1,1rvt,0.195
2wr1,1rvx,0.932
2wr1,1rvz,0.764
2wr1,1ti8,0.237
2wr1,2fk0,0.190
2wr1,2hmg,0.502
2wr1,2ibx,0.167
2wr1,2viu,0.500
2wr1,2wr0,0.045
2wr1,2wr1,0.000
2wr2,1eo8,0.527
2wr2,1ha0,0.465
2wr2,1hgd,0.407
2wr2,1hge,0.405
2wr2,1hgf,0.506
2wr2,1hgg,0.454
2wr2,1hgh,0.452
2wr2,1hgi,0.447
2wr2,1hgj,0.460
2wr2,1jsd,0.640
2wr2,1jsh,0.634
2wr2,1jsi,0.650
2wr2,1jsm,0.200
2wr2,1jsn,0.184
2wr2,1jso,0.190
2wr2,1ken,0.514
2wr2,1mql,0.417
2wr2,1mqm,0.454
2wr2,1mqn,0.452
2wr2,1qfu,0.434
2wr2,1rd8,0.232
2wr2,1ru7,0.857
2wr2,1rvt,0.161
2wr2,1rvx,0.980
2wr2,1rvz,0.815
2wr2,1ti8,0.228
2wr2,2fk0,0.155
2wr2,2hmg,0.490
2wr2,2ibx,0.161
2wr2,2viu,0.477
2wr2,2wr0,0.089
2wr2,2wr1,0.077
2wr2,2wr2,0.000
2wr4,1eo8,0.827
2wr4,1ha0,0.805
2wr4,1hgd,0.794
2wr4,1hge,0.791
2wr4,1hgf,0.838
2wr4,1hgg,0.814
2wr4,1hgh,0.814
2wr4,1hgi,0.810
2wr4,1hgj,0.814
2wr4,1jsd,0.917
2wr4,1jsh,0.912
2wr4,1jsi,0.921
2wr4,1jsm,0.699
2wr4,1jsn,0.696
2wr4,1jso,0.697
2wr4,1ken,0.838
2wr4,1mql,0.802
2wr4,1mqm,0.817
2wr4,1mqn,0.816
2wr4,1qfu,0.800
2wr4,1rd8,0.352
2wr4,1ru7,1.034
2wr4,1rvt,0.704
2wr4,1rvx,1.098
2wr4,1rvz,1.005
2wr4,1ti8,0.725
2wr4,2fk0,0.704
2wr4,2hmg,0.828
2wr4,2ibx,0.699
2wr4,2viu,0.791
2wr4,2wr0,0.214
2wr4,2wr1,0.469
2wr4,2wr2,0.659
2wr4,2wr4,0.000
2wr5,1eo8,0.759
2wr5,1ha0,0.714
2wr5,1hgd,0.752
2wr5,1hge,0.746
2wr5,1hgf,0.796
2wr5,1hgg,0.773
2wr5,1hgh,0.772
2wr5,1hgi,0.771
2wr5,1hgj,0.760
2wr5,1jsd,0.893
2wr5,1jsh,0.889
2wr5,1jsi,0.898
2wr5,1jsm,0.690
2wr5,1jsn,0.690
2wr5,1jso,0.687
2wr5,1ken,0.771
2wr5,1mql,0.777
2wr5,1mqm,0.789
2wr5,1mqn,0.787
2wr5,1qfu,0.772
2wr5,1rd8,0.424
2wr5,1ru7,1.024
2wr5,1rvt,0.706
2wr5,1rvx,1.086
2wr5,1rvz,0.990
2wr5,1ti8,0.713
2wr5,2fk0,0.693
2wr5,2hmg,0.794
2wr5,2ibx,0.690
2wr5,2viu,0.711
2wr5,2wr0,0.219
2wr5,2wr1,0.482
2wr5,2wr2,0.654
2wr5,2wr4,0.639
2wr5,2wr5,0.000
2wr7,1eo8,0.981
2wr7,1ha0,1.035
2wr7,1hgd,1.074
2wr7,1hge,1.079
2wr7,1hgf,0.994
2wr7,1hgg,1.034
2wr7,1hgh,1.040
2wr7,1hgi,1.043
2wr7,1hgj,1.032
2wr7,1jsd,0.907
2wr7,1jsh,0.917
2wr7,1jsi,0.904
2wr7,1jsm,1.406
2wr7,1jsn,1.402
2wr7,1jso,1.411
2wr7,1ken,0.985
2wr7,1mql,1.083
2wr7,1mqm,1.085
2wr7,1mqn,1.086
2wr7,1qfu,1.059
2wr7,1rd8,1.400
2wr7,1ru7,1.303
2wr7,1rvt,1.351
2wr7,1rvx,1.342
2wr7,1rvz,1.401
2wr7,1ti8,1.250
2wr7,2fk0,1.253
2wr7,2hmg,1.013
2wr7,2ibx,1.270
2wr7,2viu,1.018
2wr7,2wr0,1.392
2wr7,2wr1,1.402
2wr7,2wr2,1.413
2wr7,2wr4,1.407
2wr7,2wr5,1.386
2wr7,2wr7,0.000
2wrb,1eo8,0.832
2wrb,1ha0,0.892
2wrb,1hgd,0.928
2wrb,1hge,0.933
2wrb,1hgf,0.844
2wrb,1hgg,0.885
2wrb,1hgh,0.892
2wrb,1hgi,0.896
2wrb,1hgj,0.884
2wrb,1jsd,0.769
2wrb,1jsh,0.778
2wrb,1jsi,0.769
2wrb,1jsm,1.313
2wrb,1jsn,1.312
2wrb,1jso,1.306
2wrb,1ken,0.840
2wrb,1mql,0.938
2wrb,1mqm,0.947
2wrb,1mqn,0.947
2wrb,1qfu,0.914
2wrb,1rd8,1.321
2wrb,1ru7,1.397
2wrb,1rvt,1.359
2wrb,1rvx,1.404
2wrb,1rvz,1.333
2wrb,1ti8,1.114
2wrb,2fk0,1.125
2wrb,2hmg,0.863
2wrb,2ibx,1.145
2wrb,2viu,0.873
2wrb,2wr0,1.271
2wrb,2wr1,1.296
2wrb,2wr2,1.285
2wrb,2wr4,1.302
2wrb,2wr5,1.280
2wrb,2wr7,0.179
2wrb,2wrb,0.000
2wrc,1eo8,0.948
2wrc,1ha0,1.001
2wrc,1hgd,1.040
2wrc,1hge,1.045
2wrc,1hgf,0.956
2wrc,1hgg,0.998
2wrc,1hgh,1.004
2wrc,1hgi,1.007
2wrc,1hgj,0.997
2wrc,1jsd,0.880
2wrc,1jsh,0.891
2wrc,1jsi,0.880
2wrc,1jsm,1.409
2wrc,1jsn,1.411
2wrc,1jso,1.404
2wrc,1ken,0.947
2wrc,1mql,1.050
2wrc,1mqm,1.053
2wrc,1mqn,1.053
2wrc,1qfu,1.026
2wrc,1rd8,1.406
2wrc,1ru7,1.342
2wrc,1rvt,1.374
2wrc,1rvx,1.379
2wrc,1rvz,1.391
2wrc,1ti8,1.216
2wrc,2fk0,1.221
2wrc,2hmg,0.976
2wrc,2ibx,1.247
2wrc,2viu,0.984
2wrc,2wr0,1.369
2wrc,2wr1,1.398
2wrc,2wr2,1.385
2wrc,2wr4,1.385
2wrc,2wr5,1.362
2wrc,2wr7,0.063
2wrc,2wrb,0.141
2wrc,2wrc,0.000
2wrd,1eo8,0.557
2wrd,1ha0,0.496
2wrd,1hgd,0.447
2wrd,1hge,0.447
2wrd,1hgf,0.540
2wrd,1hgg,0.492
2wrd,1hgh,0.490
2wrd,1hgi,0.484
2wrd,1hgj,0.496
2wrd,1jsd,0.662
2wrd,1jsh,0.657
2wrd,1jsi,0.672
2wrd,1jsm,0.257
2wrd,1jsn,0.249
2wrd,1jso,0.253
2wrd,1ken,0.544
2wrd,1mql,0.463
2wrd,1mqm,0.504
2wrd,1mqn,0.496
2wrd,1qfu,0.469
2wrd,1rd8,0.310
2wrd,1ru7,0.873
2wrd,1rvt,0.214
2wrd,1rvx,0.983
2wrd,1rvz,0.826
2wrd,1ti8,0.253
2wrd,2fk0,0.224
2wrd,2hmg,0.525
2wrd,2ibx,0.205
2wrd,2viu,0.512
2wrd,2wr0,0.141
2wrd,2wr1,0.141
2wrd,2wr2,0.134
2wrd,2wr4,0.089
2wrd,2wr5,0.118
2wrd,2wr7,1.397
2wrd,2wrb,1.302
2wrd,2wrc,1.410
2wrd,2wrd,0.000
2wre,1eo8,0.500
2wre,1ha0,0.440
2wre,1hgd,0.395
2wre,1hge,0.395
2wre,1hgf,0.484
2wre,1hgg,0.436
2wre,1hgh,0.436
2wre,1hgi,0.429
2wre,1hgj,0.440
2wre,1jsd,0.618
2wre,1jsh,0.613
2wre,1jsi,0.628
2wre,1jsm,0.293
2wre,1jsn,0.283
2wre,1jso,0.286
2wre,1ken,0.490
2wre,1mql,0.412
2wre,1mqm,0.420
2wre,1mqn,0.417
2wre,1qfu,0.415
2wre,1rd8,0.341
2wre,1ru7,0.887
2wre,1rvt,0.261
2wre,1rvx,0.989
2wre,1rvz,0.825
2wre,1ti8,0.210
2wre,2fk0,0.214
2wre,2hmg,0.469
2wre,2ibx,0.190
2wre,2viu,0.454
2wre,2wr0,0.173
2wre,2wr1,0.184
2wre,2wr2,0.167
2wre,2wr4,0.134
2wre,2wr5,0.118
2wre,2wr7,1.402
2wre,2wrb,1.274
2wre,2wrc,1.376
2wre,2wrd,0.063
2wre,2wre,0.000
2wrf,1eo8,0.382
2wrf,1ha0,0.377
2wrf,1hgd,0.346
2wrf,1hge,0.346
2wrf,1hgf,0.349
2wrf,1hgg,0.335
2wrf,1hgh,0.341
2wrf,1hgi,0.335
2wrf,1hgj,0.338
2wrf,1jsd,0.506
2wrf,1jsh,0.510
2wrf,1jsi,0.522
2wrf,1jsm,0.669
2wrf,1jsn,0.668
2wrf,1jso,0.662
2wrf,1ken,0.382
2wrf,1mql,0.352
2wrf,1mqm,0.420
2wrf,1mqn,0.410
2wrf,1qfu,0.363
2wrf,1rd8,0.688
2wrf,1ru7,1.006
2wrf,1rvt,0.696
2wrf,1rvx,1.051
2wrf,1rvz,0.911
2wrf,1ti8,0.431
2wrf,2fk0,0.427
2wrf,2hmg,0.332
2wrf,2ibx,0.460
2wrf,2viu,0.369
2wrf,2wr0,0.581
2wrf,2wr1,0.600
2wrf,2wr2,0.602
2wrf,2wr4,0.643
2wrf,2wr5,0.722
2wrf,2wr7,1.022
2wrf,2wrb,0.893
2wrf,2wrc,0.998
2wrf,2wrd,0.671
2wrf,2wre,0.659
2wrf,2wrf,0.000
2wrg,1eo8,0.566
2wrg,1ha0,0.502
2wrg,1hgd,0.454
2wrg,1hge,0.452
2wrg,1hgf,0.551
2wrg,1hgg,0.504
2wrg,1hgh,0.500
2wrg,1hgi,0.500
2wrg,1hgj,0.508
2wrg,1jsd,0.634
2wrg,1jsh,0.623
2wrg,1jsi,0.639
2wrg,1jsm,0.118
2wrg,1jsn,0.110
2wrg,1jso,0.110
2wrg,1ken,0.550
2wrg,1mql,0.484
2wrg,1mqm,0.523
2wrg,1mqn,0.518
2wrg,1qfu,0.477
2wrg,1rd8,0.148
2wrg,1ru7,1.025
2wrg,1rvt,0.110
2wrg,1rvx,1.132
2wrg,1rvz,0.994
2wrg,1ti8,0.326
2wrg,2fk0,0.224
2wrg,2hmg,0.555
2wrg,2ibx,0.276
2wrg,2viu,0.516
2wrg,2wr0,0.237
2wrg,2wr1,0.214
2wrg,2wr2,0.148
2wrg,2wr4,0.717
2wrg,2wr5,0.716
2wrg,2wr7,1.399
2wrg,2wrb,1.314
2wrg,2wrc,1.408
2wrg,2wrd,0.195
2wrg,2wre,0.232
2wrg,2wrf,0.691
2wrg,2wrg,0.000
2wrh,1eo8,0.754
2wrh,1ha0,0.696
2wrh,1hgd,0.636
2wrh,1hge,0.632
2wrh,1hgf,0.728
2wrh,1hgg,0.680
2wrh,1hgh,0.677
2wrh,1hgi,0.672
2wrh,1hgj,0.686
2wrh,1jsd,0.852
2wrh,1jsh,0.844
2wrh,1jsi,0.859
2wrh,1jsm,0.303
2wrh,1jsn,0.303
2wrh,1jso,0.303
2wrh,1ken,0.742
2wrh,1mql,0.632
2wrh,1mqm,0.668
2wrh,1mqn,0.662
2wrh,1qfu,0.662
2wrh,1rd8,0.344
2wrh,1ru7,0.800
2wrh,1rvt,0.195
2wrh,1rvx,0.963
2wrh,1rvz,0.799
2wrh,1ti8,0.452
2wrh,2fk0,0.410
2wrh,2hmg,0.709
2wrh,2ibx,0.407
2wrh,2viu,0.701
2wrh,2wr0,0.276
2wrh,2wr1,0.228
2wrh,2wr2,0.253
2wrh,2wr4,0.279
2wrh,2wr5,0.352
2wrh,2wr7,1.234
2wrh,2wrb,1.356
2wrh,2wrc,1.262
2wrh,2wrd,0.276
2wrh,2wre,0.341
2wrh,2wrf,0.805
2wrh,2wrg,0.286
2wrh,2wrh,0.000
2yp2,1eo8,0.272
2yp2,1ha0,0.253
2yp2,1hgd,0.253
2yp2,1hge,0.249
2yp2,1hgf,0.265
2yp2,1hgg,0.265
2yp2,1hgh,0.265
2yp2,1hgi,0.268
2yp2,1hgj,0.265
2yp2,1jsd,0.173
2yp2,1jsh,0.161
2yp2,1jsi,0.173
2yp2,1jsm,0.502
2yp2,1jsn,0.488
2yp2,1jso,0.494
2yp2,1ken,0.245
2yp2,1mql,0.297
2yp2,1mqm,0.338
2yp2,1mqn,0.332
2yp2,1qfu,0.253
2yp2,1rd8,0.436
2yp2,1ru7,1.192
2yp2,1rvt,0.555
2yp2,1rvx,1.283
2yp2,1rvz,1.123
2yp2,1ti8,0.427
2yp2,2fk0,0.390
2yp2,2hmg,0.322
2yp2,2ibx,0.445
2yp2,2viu,0.249
2yp2,2wr0,0.557
2yp2,2wr1,0.564
2yp2,2wr2,0.514
2yp2,2wr4,0.853
2yp2,2wr5,0.827
2yp2,2wr7,1.045
2yp2,2wrb,0.925
2yp2,2wrc,1.026
2yp2,2wrd,0.551
2yp2,2wre,0.508
2yp2,2wrf,0.535
2yp2,2wrg,0.477
2yp2,2wrh,0.743
2yp2,2yp2,0.000
2yp3,1eo8,0.253
2yp3,1ha0,0.228
2yp3,1hgd,0.224
2yp3,1hge,0.224
2yp3,1hgf,0.245
2yp3,1hgg,0.241
2yp3,1hgh,0.237
2yp3,1hgi,0.245
2yp3,1hgj,0.241
2yp3,1jsd,0.184
2yp3,1jsh,0.173
2yp3,1jsi,0.190
2yp3,1jsm,0.486
2yp3,1jsn,0.471
2yp3,1jso,0.477
2yp3,1ken,0.224
2yp3,1mql,0.268
2yp3,1mqm,0.313
2yp3,1mqn,0.307
2yp3,1qfu,0.224
2yp3,1rd8,0.420
2yp3,1ru7,1.158
2yp3,1rvt,0.531
2yp3,1rvx,1.255
2yp3,1rvz,1.089
2yp3,1ti8,0.392
2yp3,2fk0,0.361
