p_id,p_id2,value
1hgd,1ru7,1.61
1hge,1ru7,1.61
1hgf,1ru7,1.62
1hgg,1ru7,1.63
1hgh,1ru7,1.62
1hgi,1ru7,1.62
1hgj,1ru7,1.62
1jsd,1ru7,0.97
1jsh,1ru7,0.97
1jsi,1ru7,0.98
1jsm,1ru7,0.89
1jsn,1ru7,0.93
1jso,1ru7,0.89
1ken,1ru7,1.64
1mql,1ru7,1.58
1mqm,1ru7,1.58
1mqn,1ru7,1.58
1qfu,1ru7,1.63
1rd8,1ru7,1.03
1eo8,1rvt,1.74
1ha0,1rvt,1.73
1hgd,1rvt,1.7
1hge,1rvt,1.7
1hgf,1rvt,1.72
1hgg,1rvt,1.72
1hgh,1rvt,1.71
1hgi,1rvt,1.71
1hgj,1rvt,1.71
1jsd,1rvt,1.11
1jsh,1rvt,1.11
1jsi,1rvt,1.12
1jsm,1rvt,0.92
1jsn,1rvt,0.96
1jso,1rvt,0.93
1ken,1rvt,1.73
1mql,1rvt,1.68
1mqm,1rvt,1.68
1mqn,1rvt,1.68
1qfu,1rvt,1.72
1rd8,1rvt,0.97
1ru7,1rvt,0.43
1eo8,1rvx,1.65
1ha0,1rvx,1.65
1hgd,1rvx,1.62
1hge,1rvx,1.62
1hgf,1rvx,1.64
1hgg,1rvx,1.64
1hgh,1rvx,1.63
1hgi,1rvx,1.63
1hgj,1rvx,1.63
1jsd,1rvx,1.0
1jsh,1rvx,0.99
1jsi,1rvx,0.99
1jsm,1rvx,0.9
1jsn,1rvx,0.94
1jso,1rvx,0.9
1ken,1rvx,1.65
1mql,1rvx,1.59
1mqm,1rvx,1.59
1mqn,1rvx,1.59
1qfu,1rvx,1.64
1rd8,1rvx,1.04
1ru7,1rvx,0.17
1rvt,1rvx,0.47
1eo8,1rvz,1.64
1ha0,1rvz,1.64
1hgd,1rvz,1.61
1hge,1rvz,1.6
1hgf,1rvz,1.62
1hgg,1rvz,1.62
1hgh,1rvz,1.61
1hgi,1rvz,1.62
1hgj,1rvz,1.62
1jsd,1rvz,0.97
1jsh,1rvz,0.97
1jsi,1rvz,0.97
1jsm,1rvz,0.9
1jsn,1rvz,0.94
1jso,1rvz,0.9
1ken,1rvz,1.64
1mql,1rvz,1.58
1mqm,1rvz,1.58
1mqn,1rvz,1.58
1qfu,1rvz,1.63
1rd8,1rvz,1.04
1ru7,1rvz,0.14
1rvt,1rvz,0.45
1rvx,1rvz,0.14
1eo8,1ti8,1.66
1ha0,1ti8,1.65
1hgd,1ti8,1.65
1hge,1ti8,1.65
1hgf,1ti8,1.65
1hgg,1ti8,1.66
1hgh,1ti8,1.65
1hgi,1ti8,1.66
1hgj,1ti8,1.65
1jsd,1ti8,1.75
1jsh,1ti8,1.75
1jsi,1ti8,1.75
1jsm,1ti8,1.51
1jsn,1ti8,1.55
1jso,1ti8,1.5
1ken,1ti8,1.73
1mql,1ti8,1.66
1mqm,1ti8,1.66
1mqn,1ti8,1.66
1qfu,1ti8,1.63
1rd8,1ti8,2.12
1ru7,1ti8,1.64
1rvt,1ti8,1.8
1rvx,1ti8,1.64
1rvz,1ti8,1.64
1eo8,2fk0,1.74
1ha0,2fk0,1.75
1hgd,2fk0,1.72
1hge,2fk0,1.72
1hgf,2fk0,1.73
1hgg,2fk0,1.74
1hgh,2fk0,1.73
1hgi,2fk0,1.73
1hgj,2fk0,1.73
1jsd,2fk0,1.52
1jsh,2fk0,1.52
1jsi,2fk0,1.53
1jsm,2fk0,1.09
1jsn,2fk0,1.14
1jso,2fk0,1.09
1ken,2fk0,1.79
1mql,2fk0,1.71
1mqm,2fk0,1.71
1mqn,2fk0,1.71
1qfu,2fk0,1.71
1rd8,2fk0,1.03
1ru7,2fk0,1.14
1rvt,2fk0,1.24
1rvx,2fk0,1.14
1rvz,2fk0,1.14
1ti8,2fk0,2.07
1eo8,2hmg,0.34
1ha0,2hmg,0.4
1hgd,2hmg,0.18
1hge,2hmg,0.19
1hgf,2hmg,0.18
1hgg,2hmg,0.2
1hgh,2hmg,0.2
1hgi,2hmg,0.22
1hgj,2hmg,0.19
1jsd,2hmg,1.61
1jsh,2hmg,1.62
1jsi,2hmg,1.62
1jsm,2hmg,1.51
1jsn,2hmg,1.55
1jso,2hmg,1.52
1ken,2hmg,0.45
1mql,2hmg,0.4
1mqm,2hmg,0.39
1mqn,2hmg,0.39
1qfu,2hmg,0.36
1rd8,2hmg,1.86
1ru7,2hmg,1.63
1rvt,2hmg,1.72
1rvx,2hmg,1.64
1rvz,2hmg,1.62
1ti8,2hmg,1.67
2fk0,2hmg,1.74
1eo8,2ibx,1.51
1ha0,2ibx,1.52
1hgd,2ibx,1.49
1hge,2ibx,1.49
1hgf,2ibx,1.5
1hgg,2ibx,1.51
1hgh,2ibx,1.5
1hgi,2ibx,1.5
1hgj,2ibx,1.49
1jsd,2ibx,1.25
1jsh,2ibx,1.25
1jsi,2ibx,1.26
1jsm,2ibx,0.45
1jsn,2ibx,0.5
1jso,2ibx,0.44
1ken,2ibx,1.54
1mql,2ibx,1.49
1mqm,2ibx,1.49
1mqn,2ibx,1.49
1qfu,2ibx,1.47
1rd8,2ibx,1.4
1ru7,2ibx,0.94
1rvt,2ibx,0.99
1rvx,2ibx,0.95
1rvz,2ibx,0.94
1ti8,2ibx,1.52
2fk0,2ibx,1.12
2hmg,2ibx,1.51
1eo8,2rft,2.68
1ha0,2rft,2.71
1hgd,2rft,2.68
1hge,2rft,2.68
1hgf,2rft,2.7
1hgg,2rft,2.7
1hgh,2rft,2.7
1hgi,2rft,2.7
1hgj,2rft,2.68
1jsd,2rft,2.55
1jsh,2rft,2.55
1jsi,2rft,2.57
1jsm,2rft,2.81
1jsn,2rft,2.85
1jso,2rft,2.81
1ken,2rft,2.73
1mql,2rft,2.72
1mqm,2rft,2.72
1mqn,2rft,2.72
1qfu,2rft,2.68
1rd8,2rft,2.75
1ru7,2rft,2.81
1rvt,2rft,2.88
1rvx,2rft,2.82
1rvz,2rft,2.83
1ti8,2rft,3.05
2fk0,2rft,2.81
2hmg,2rft,2.7
2ibx,2rft,2.8
1eo8,2rfu,2.67
1ha0,2rfu,2.7
1hgd,2rfu,2.67
1hge,2rfu,2.67
1hgf,2rfu,2.69
1hgg,2rfu,2.69
1hgh,2rfu,2.69
1hgi,2rfu,2.69
1hgj,2rfu,2.68
1jsd,2rfu,2.71
1jsh,2rfu,2.72
1jsi,2rfu,2.62
1jsm,2rfu,2.91
1jsn,2rfu,2.94
1jso,2rfu,2.89
1ken,2rfu,2.71
1mql,2rfu,2.72
1mqm,2rfu,2.7
1mqn,2rfu,2.7
1qfu,2rfu,2.68
1rd8,2rfu,2.85
1ru7,2rfu,2.81
1rvt,2rfu,2.88
1rvx,2rfu,2.81
1rvz,2rfu,2.81
1ti8,2rfu,2.92
2fk0,2rfu,2.81
2hmg,2rfu,2.69
2ibx,2rfu,2.8
2rft,2rfu,0.31
1eo8,2viu,0.35
1ha0,2viu,0.4
1hgd,2viu,0.23
1hge,2viu,0.23
1hgf,2viu,0.25
1hgg,2viu,0.25
1hgh,2viu,0.24
1hgi,2viu,0.24
1hgj,2viu,0.24
1jsd,2viu,1.61
1jsh,2viu,1.62
1jsi,2viu,1.63
1jsm,2viu,1.49
1jsn,2viu,1.53
1jso,2viu,1.5
1ken,2viu,0.44
1mql,2viu,0.39
1mqm,2viu,0.37
1mqn,2viu,0.37
1qfu,2viu,0.31
1rd8,2viu,1.82
1ru7,2viu,1.61
1rvt,2viu,1.7
1rvx,2viu,1.62
1rvz,2viu,1.61
1ti8,2viu,1.64
2fk0,2viu,1.73
2hmg,2viu,0.3
2ibx,2viu,1.5
2rft,2viu,2.68
2rfu,2viu,2.67
1eo8,2wr0,1.72
1ha0,2wr0,1.76
1hgd,2wr0,1.73
1hge,2wr0,1.72
1hgf,2wr0,1.73
1hgg,2wr0,1.73
1hgh,2wr0,1.73
1hgi,2wr0,1.73
1hgj,2wr0,1.73
1jsd,2wr0,1.61
1jsh,2wr0,1.61
1jsi,2wr0,1.61
1jsm,2wr0,1.21
1jsn,2wr0,1.24
1jso,2wr0,1.21
1ken,2wr0,1.77
1mql,2wr0,1.7
1mqm,2wr0,1.7
1mqn,2wr0,1.7
1qfu,2wr0,1.69
1rd8,2wr0,1.04
1ru7,2wr0,1.27
1rvt,2wr0,1.29
1rvx,2wr0,1.27
1rvz,2wr0,1.28
1ti8,2wr0,2.01
2fk0,2wr0,0.84
2hmg,2wr0,1.75
2ibx,2wr0,1.26
2rft,2wr0,2.7
2rfu,2wr0,2.84
2viu,2wr0,1.72
1eo8,2wr1,1.75
1ha0,2wr1,1.78
1hgd,2wr1,1.75
1hge,2wr1,1.75
1hgf,2wr1,1.75
1hgg,2wr1,1.75
1hgh,2wr1,1.75
1hgi,2wr1,1.75
1hgj,2wr1,1.75
1jsd,2wr1,1.48
1jsh,2wr1,1.48
1jsi,2wr1,1.48
1jsm,2wr1,1.2
1jsn,2wr1,1.26
1jso,2wr1,1.21
1ken,2wr1,1.79
1mql,2wr1,1.71
1mqm,2wr1,1.72
1mqn,2wr1,1.72
1qfu,2wr1,1.72
1rd8,2wr1,0.97
1ru7,2wr1,1.19
1rvt,2wr1,1.3
1rvx,2wr1,1.21
1rvz,2wr1,1.22
1ti8,2wr1,2.02
2fk0,2wr1,0.81
2hmg,2wr1,1.76
2ibx,2wr1,1.26
2rft,2wr1,2.82
2rfu,2wr1,2.82
2viu,2wr1,1.74
2wr0,2wr1,0.51
1eo8,2wr2,1.75
1ha0,2wr2,1.79
1hgd,2wr2,1.75
1hge,2wr2,1.75
1hgf,2wr2,1.76
1hgg,2wr2,1.76
1hgh,2wr2,1.76
1hgi,2wr2,1.76
1hgj,2wr2,1.75
1jsd,2wr2,1.48
1jsh,2wr2,1.49
1jsi,2wr2,1.49
1jsm,2wr2,1.2
1jsn,2wr2,1.26
1jso,2wr2,1.21
1ken,2wr2,1.8
1mql,2wr2,1.72
1mqm,2wr2,1.72
1mqn,2wr2,1.72
1qfu,2wr2,1.72
1rd8,2wr2,0.95
1ru7,2wr2,1.18
1rvt,2wr2,1.28
1rvx,2wr2,1.2
1rvz,2wr2,1.21
1ti8,2wr2,2.01
2fk0,2wr2,0.83
2hmg,2wr2,1.77
2ibx,2wr2,1.26
2rft,2wr2,2.84
2rfu,2wr2,2.84
2viu,2wr2,1.74
2wr0,2wr2,0.53
2wr1,2wr2,0.19
1eo8,2wr3,2.21
1ha0,2wr3,2.19
1hgd,2wr3,2.14
1hge,2wr3,2.14
1hgf,2wr3,2.14
1hgg,2wr3,2.2
1hgh,2wr3,2.14
1hgi,2wr3,2.14
1hgj,2wr3,2.14
1jsd,2wr3,1.7
1jsh,2wr3,1.7
1jsi,2wr3,1.7
1jsm,2wr3,1.31
1jsn,2wr3,1.38
1jso,2wr3,1.32
1ken,2wr3,2.15
1mql,2wr3,2.18
1mqm,2wr3,2.17
1mqn,2wr3,2.17
1qfu,2wr3,2.18
1rd8,2wr3,1.19
1ru7,2wr3,1.48
1rvt,2wr3,1.55
1rvx,2wr3,1.49
1rvz,2wr3,1.49
1ti8,2wr3,2.01
2fk0,2wr3,1.15
2hmg,2wr3,2.16
2ibx,2wr3,1.38
2rft,2wr3,3.18
2rfu,2wr3,3.17
2viu,2wr3,2.19
2wr0,2wr3,0.56
2wr1,2wr3,0.62
2wr2,2wr3,0.63
1eo8,2wr4,2.22
1ha0,2wr4,2.19
1hgd,2wr4,2.16
1hge,2wr4,2.15
1hgf,2wr4,2.16
1hgg,2wr4,2.15
1hgh,2wr4,2.15
1hgi,2wr4,2.15
1hgj,2wr4,2.16
1jsd,2wr4,1.71
1jsh,2wr4,1.71
1jsi,2wr4,1.72
1jsm,2wr4,1.32
1jsn,2wr4,1.39
1jso,2wr4,1.33
1ken,2wr4,2.15
1mql,2wr4,2.19
1mqm,2wr4,2.18
1mqn,2wr4,2.18
1qfu,2wr4,2.19
1rd8,2wr4,1.16
1ru7,2wr4,1.61
1rvt,2wr4,1.52
1rvx,2wr4,1.62
1rvz,2wr4,1.62
1ti8,2wr4,2.13
2fk0,2wr4,1.12
2hmg,2wr4,2.18
2ibx,2wr4,1.39
2rft,2wr4,3.2
2rfu,2wr4,3.19
2viu,2wr4,2.2
2wr0,2wr4,0.55
2wr1,2wr4,0.59
2wr2,2wr4,0.61
2wr3,2wr4,0.19
1eo8,2wr5,2.3
1ha0,2wr5,2.27
1hgd,2wr5,2.23
1hge,2wr5,2.23
1hgf,2wr5,2.29
1hgg,2wr5,2.23
1hgh,2wr5,2.24
1hgi,2wr5,2.24
1hgj,2wr5,2.23
1jsd,2wr5,1.81
1jsh,2wr5,1.81
1jsi,2wr5,1.82
1jsm,2wr5,1.33
1jsn,2wr5,1.42
1jso,2wr5,1.34
1ken,2wr5,2.25
1mql,2wr5,2.28
1mqm,2wr5,2.21
1mqn,2wr5,2.21
1qfu,2wr5,2.27
1rd8,2wr5,1.19
1ru7,2wr5,1.64
1rvt,2wr5,1.55
1rvx,2wr5,1.63
1rvz,2wr5,1.64
1ti8,2wr5,1.98
2fk0,2wr5,1.13
2hmg,2wr5,2.23
2ibx,2wr5,1.39
2rft,2wr5,3.27
2rfu,2wr5,3.31
2viu,2wr5,2.3
2wr0,2wr5,0.61
2wr1,2wr5,0.62
2wr2,2wr5,0.64
2wr3,2wr5,0.26
2wr4,2wr5,0.19
1eo8,2wr7,2.16
1ha0,2wr7,2.21
1hgd,2wr7,2.16
1hge,2wr7,2.16
1hgf,2wr7,2.17
1hgg,2wr7,2.16
1hgh,2wr7,2.16
1hgi,2wr7,2.16
1hgj,2wr7,2.16
1jsd,2wr7,1.75
1jsh,2wr7,1.75
1jsi,2wr7,1.76
1jsm,2wr7,1.35
1jsn,2wr7,1.42
1jso,2wr7,1.36
1ken,2wr7,2.18
1mql,2wr7,2.14
1mqm,2wr7,2.13
1mqn,2wr7,2.13
1qfu,2wr7,2.13
1rd8,2wr7,1.17
1ru7,2wr7,1.65
1rvt,2wr7,1.56
1rvx,2wr7,1.65
1rvz,2wr7,1.66
1ti8,2wr7,2.0
2fk0,2wr7,1.13
2hmg,2wr7,2.18
2ibx,2wr7,1.41
2rft,2wr7,3.21
2rfu,2wr7,3.19
2viu,2wr7,2.15
2wr0,2wr7,0.61
2wr1,2wr7,0.64
2wr2,2wr7,0.66
2wr3,2wr7,0.36
2wr4,2wr7,0.33
2wr5,2wr7,0.35
1eo8,2wrb,1.75
1ha0,2wrb,1.79
1hgd,2wrb,1.75
1hge,2wrb,1.75
1hgf,2wrb,1.76
1hgg,2wrb,1.76
1hgh,2wrb,1.76
1hgi,2wrb,1.75
1hgj,2wrb,1.76
1jsd,2wrb,1.54
1jsh,2wrb,1.55
1jsi,2wrb,1.55
1jsm,2wrb,1.16
1jsn,2wrb,1.22
1jso,2wrb,1.17
1ken,2wrb,1.8
1mql,2wrb,1.73
1mqm,2wrb,1.74
1mqn,2wrb,1.74
1qfu,2wrb,1.72
1rd8,2wrb,0.98
1ru7,2wrb,1.2
1rvt,2wrb,1.3
1rvx,2wrb,1.22
1rvz,2wrb,1.22
1ti8,2wrb,2.09
2fk0,2wrb,0.89
2hmg,2wrb,1.78
2ibx,2wrb,1.2
2rft,2wrb,2.78
2rfu,2wrb,2.95
2viu,2wrb,1.75
2wr0,2wrb,0.63
2wr1,2wrb,0.59
2wr2,2wrb,0.59
2wr3,2wrb,0.41
2wr4,2wrb,0.4
2wr5,2wrb,0.4
2wr7,2wrb,0.26
1eo8,2wrc,1.74
1ha0,2wrc,1.78
1hgd,2wrc,1.74
1hge,2wrc,1.74
1hgf,2wrc,1.74
1hgg,2wrc,1.74
1hgh,2wrc,1.74
1hgi,2wrc,1.74
1hgj,2wrc,1.74
1jsd,2wrc,1.55
1jsh,2wrc,1.55
1jsi,2wrc,1.55
1jsm,2wrc,1.15
1jsn,2wrc,1.19
1jso,2wrc,1.15
1ken,2wrc,1.78
1mql,2wrc,1.72
1mqm,2wrc,1.73
1mqn,2wrc,1.73
1qfu,2wrc,1.71
1rd8,2wrc,0.96
1ru7,2wrc,1.22
1rvt,2wrc,1.32
1rvx,2wrc,1.23
1rvz,2wrc,1.23
1ti8,2wrc,1.97
2fk0,2wrc,0.85
2hmg,2wrc,1.76
2ibx,2wrc,1.18
2rft,2wrc,2.97
2rfu,2wrc,2.95
2viu,2wrc,1.74
2wr0,2wrc,0.53
2wr1,2wrc,0.56
2wr2,2wrc,0.57
2wr3,2wrc,0.38
2wr4,2wrc,0.35
2wr5,2wrc,0.37
2wr7,2wrc,0.21
2wrb,2wrc,0.29
1eo8,2wrd,1.73
1ha0,2wrd,1.76
1hgd,2wrd,1.72
1hge,2wrd,1.72
1hgf,2wrd,1.73
1hgg,2wrd,1.73
1hgh,2wrd,1.73
1hgi,2wrd,1.72
1hgj,2wrd,1.72
1jsd,2wrd,1.57
1jsh,2wrd,1.56
1jsi,2wrd,1.56
1jsm,2wrd,1.18
1jsn,2wrd,1.23
1jso,2wrd,1.19
1ken,2wrd,1.77
1mql,2wrd,1.71
1mqm,2wrd,1.71
1mqn,2wrd,1.71
1qfu,2wrd,1.7
1rd8,2wrd,0.96
1ru7,2wrd,1.22
1rvt,2wrd,1.34
1rvx,2wrd,1.22
1rvz,2wrd,1.23
1ti8,2wrd,1.98
2fk0,2wrd,0.85
2hmg,2wrd,1.73
2ibx,2wrd,1.2
2rft,2wrd,2.82
2rfu,2wrd,2.81
2viu,2wrd,1.72
2wr0,2wrd,0.53
2wr1,2wrd,0.57
2wr2,2wrd,0.59
2wr3,2wrd,0.52
2wr4,2wrd,0.47
2wr5,2wrd,0.47
2wr7,2wrd,0.39
2wrb,2wrd,0.4
2wrc,2wrd,0.29
1eo8,2wre,2.25
1ha0,2wre,2.24
1hgd,2wre,2.17
1hge,2wre,2.17
1hgf,2wre,2.17
1hgg,2wre,2.17
1hgh,2wre,2.17
1hgi,2wre,2.17
1hgj,2wre,2.17
1jsd,2wre,1.83
1jsh,2wre,1.83
1jsi,2wre,1.84
1jsm,2wre,1.45
1jsn,2wre,1.52
1jso,2wre,1.45
1ken,2wre,2.2
1mql,2wre,2.24
1mqm,2wre,2.16
1mqn,2wre,2.16
1qfu,2wre,2.22
1rd8,2wre,1.22
1ru7,2wre,1.72
1rvt,2wre,1.66
1rvx,2wre,1.73
1rvz,2wre,1.73
1ti8,2wre,2.02
2fk0,2wre,1.2
2hmg,2wre,2.18
2ibx,2wre,1.48
2rft,2wre,3.13
2rfu,2wre,3.06
2viu,2wre,2.24
2wr0,2wre,0.7
2wr1,2wre,0.81
2wr2,2wre,0.82
2wr3,2wre,0.56
2wr4,2wre,0.55
2wr5,2wre,0.56
2wr7,2wre,0.48
2wrb,2wre,0.53
2wrc,2wre,0.46
2wrd,2wre,0.36
1eo8,2wrf,1.78
1ha0,2wrf,1.82
1hgd,2wrf,1.79
1hge,2wrf,1.79
1hgf,2wrf,1.79
1hgg,2wrf,1.79
1hgh,2wrf,1.79
1hgi,2wrf,1.79
1hgj,2wrf,1.79
1jsd,2wrf,1.6
1jsh,2wrf,1.6
1jsi,2wrf,1.6
1jsm,2wrf,1.23
1jsn,2wrf,1.26
1jso,2wrf,1.24
1ken,2wrf,1.81
1mql,2wrf,1.75
1mqm,2wrf,1.75
1mqn,2wrf,1.75
1qfu,2wrf,1.76
1rd8,2wrf,1.04
1ru7,2wrf,1.3
1rvt,2wrf,1.4
1rvx,2wrf,1.31
1rvz,2wrf,1.31
1ti8,2wrf,2.04
2fk0,2wrf,0.94
2hmg,2wrf,1.81
2ibx,2wrf,1.28
2rft,2wrf,2.94
2rfu,2wrf,2.94
2viu,2wrf,1.78
2wr0,2wrf,0.63
2wr1,2wrf,0.65
2wr2,2wrf,0.66
2wr3,2wrf,0.45
2wr4,2wrf,0.45
2wr5,2wrf,0.48
2wr7,2wrf,0.48
2wrb,2wrf,0.54
2wrc,2wrf,0.48
2wrd,2wrf,0.57
2wre,2wrf,0.7
1eo8,2wrg,1.85
1ha0,2wrg,1.83
1hgd,2wrg,1.8
1hge,2wrg,1.8
1hgf,2wrg,1.81
1hgg,2wrg,1.81
1hgh,2wrg,1.8
1hgi,2wrg,1.81
1hgj,2wrg,1.81
1jsd,2wrg,1.34
1jsh,2wrg,1.34
1jsi,2wrg,1.34
1jsm,2wrg,1.29
1jsn,2wrg,1.33
1jso,2wrg,1.3
1ken,2wrg,1.82
1mql,2wrg,1.79
1mqm,2wrg,1.78
1mqn,2wrg,1.78
1qfu,2wrg,1.82
1rd8,2wrg,0.57
1ru7,2wrg,0.86
1rvt,2wrg,0.96
1rvx,2wrg,0.87
1rvz,2wrg,0.87
1ti8,2wrg,2.1
2fk0,2wrg,1.03
2hmg,2wrg,1.82
2ibx,2wrg,1.3
2rft,2wrg,2.86
2rfu,2wrg,2.85
2viu,2wrg,1.79
2wr0,2wrg,1.13
2wr1,2wrg,1.04
2wr2,2wrg,1.02
2wr3,2wrg,1.33
2wr4,2wrg,1.29
2wr5,2wrg,1.33
2wr7,2wrg,1.33
2wrb,2wrg,1.09
2wrc,2wrg,1.06
2wrd,2wrg,1.07
2wre,2wrg,1.41
2wrf,2wrg,1.15
1eo8,2wrh,1.84
1ha0,2wrh,1.83
1hgd,2wrh,1.79
1hge,2wrh,1.78
1hgf,2wrh,1.8
1hgg,2wrh,1.8
1hgh,2wrh,1.79
1hgi,2wrh,1.8
1hgj,2wrh,1.79
1jsd,2wrh,1.36
1jsh,2wrh,1.36
1jsi,2wrh,1.35
1jsm,2wrh,1.28
1jsn,2wrh,1.31
1jso,2wrh,1.28
1ken,2wrh,1.8
1mql,2wrh,1.77
1mqm,2wrh,1.77
1mqn,2wrh,1.77
1qfu,2wrh,1.8
1rd8,2wrh,0.55
1ru7,2wrh,0.91
1rvt,2wrh,1.01
1rvx,2wrh,0.9
1rvz,2wrh,0.91
1ti8,2wrh,2.06
2fk0,2wrh,1.02
2hmg,2wrh,1.81
2ibx,2wrh,1.27
2rft,2wrh,2.77
