p_id,p_id2,score
4bh3,4bh3,1743.0
1qfu,1qfu,1690.0
3zp6,3zp6,1734.0
1mqm,1mqm,1694.0
3zp2,3zp2,1733.0
3zp1,3zp1,1733.0
3zp0,3zp0,1733.0
4uo8,4uo8,1673.0
3m5i,3m5i,1631.0
4uo9,4uo9,1674.0
4bh0,4bh0,1721.0
4n64,4n64,1660.0
2wrf,2wrf,1729.0
2wre,2wre,1718.0
2wrd,2wrd,1718.0
4n60,4n60,1660.0
4n61,4n61,1660.0
4n62,4n62,1660.0
4n63,4n63,1660.0
4cr0,4cr0,1731.0
1eo8,1eo8,1690.0
2wrh,2wrh,1720.0
4cz0,4cz0,1695.0
2yp5,2yp5,1686.0
4ln4,4ln4,1668.0
4ju0,4ju0,1734.0
1ti8,1ti8,1655.0
1rd8,1rd8,1741.0
3vun,3vun,1688.0
2yp4,2yp4,1686.0
1ru7,1ru7,1736.0
4dj6,4dj6,1666.0
4dj7,4dj7,1666.0
4bsi,4bsi,1666.0
3m6s,3m6s,1738.0
4o58,4o58,1696.0
4bsf,4bsf,1660.0
4dj8,4dj8,1666.0
4bsd,4bsd,1661.0
4bsc,4bsc,1661.0
4bsb,4bsb,1661.0
4bsa,4bsa,1661.0
2wr7,2wr7,1712.0
2wr5,2wr5,1726.0
2wr4,2wr4,1726.0
4i78,4i78,1729.0
2wr2,2wr2,1731.0
2wr1,2wr1,1731.0
2wr0,2wr0,1731.0
4k65,4k65,1727.0
4k64,4k64,1732.0
4k67,4k67,1727.0
4py8,4py8,1742.0
4nm8,4nm8,1691.0
4k63,4k63,1732.0
4k62,4k62,1732.0
4bsg,4bsg,1666.0
1mqn,1mqn,1694.0
3ku5,3ku5,1741.0
3ku6,3ku6,1743.0
4bse,4bse,1660.0
3ku3,3ku3,1744.0
4lkj,4lkj,1650.0
2hmg,2hmg,1690.0
4jug,4jug,1736.0
4fqv,4fqv,1663.0
4o5i,4o5i,1685.0
4juk,4juk,1736.0
4juj,4juj,1736.0
4jum,4jum,1757.0
4jul,4jul,1761.0
4o5n,4o5n,1685.0
4jun,4jun,1755.0
1ken,1ken,1690.0
4kdn,4kdn,1730.0
4gxu,4gxu,1742.0
2yp3,2yp3,1686.0
2yp2,2yp2,1686.0
4uny,4uny,1684.0
4bh1,4bh1,1721.0
2yp7,2yp7,1688.0
4n5k,4n5k,1660.0
4n5j,4n5j,1660.0
4uo0,4uo0,1680.0
4uo1,4uo1,1680.0
2yp9,2yp9,1688.0
4uo3,4uo3,1681.0
4uo4,4uo4,1673.0
4uo5,4uo5,1673.0
4uo6,4uo6,1673.0
4uo7,4uo7,1673.0
4lkg,4lkg,1662.0
4n5y,4n5y,1737.0
4n5z,4n5z,1736.0
4lki,4lki,1650.0
4lkh,4lkh,1662.0
4lkk,4lkk,1650.0
3htt,3htt,1742.0
1hgf,1hgf,1690.0
1hgg,1hgg,1690.0
1hgd,1hgd,1689.0
1hge,1hge,1689.0
4fiu,4fiu,1740.0
4lcx,4lcx,1662.0
3ubn,3ubn,1742.0
1hgj,1hgj,1690.0
4bh4,4bh4,1743.0
1hgh,1hgh,1690.0
1hgi,1hgi,1690.0
4unz,4unz,1684.0
3eyk,3eyk,1680.0
4kon,4kon,1649.0
3eyj,3eyj,1680.0
2yp8,2yp8,1688.0
3ztj,3ztj,1690.0
4kwm,4kwm,1741.0
4d00,4d00,1708.0
4k66,4k66,1727.0
3uyw,3uyw,1156.0
4kdq,4kdq,1732.0
2ibx,2ibx,1733.0
3uyx,3uyx,1146.0
3ube,3ube,1742.0
2ypg,2ypg,1690.0
3m5j,3m5j,1631.0
4m5z,4m5z,1161.0
3m5h,3m5h,1631.0
3m5g,3m5g,1631.0
4uoa,4uoa,1672.0
3ubj,3ubj,1742.0
4bsh,4bsh,1666.0
3gbm,3gbm,1739.0
3gbn,3gbn,1742.0
4gms,4gms,1696.0
3r2x,3r2x,1736.0
4fp8,4fp8,1443.0
4kdo,4kdo,1730.0
3zp3,3zp3,1733.0
4kdm,4kdm,1730.0
4unx,4unx,1684.0
4kth,4kth,1751.0
3al4,3al4,1728.0
1ha0,4eef,595.0
1ha0,4cqp,560.0
1ha0,4cqq,560.0
1ha0,4cqr,560.0
1ha0,4cqs,563.0
1ha0,4cqt,563.0
1ha0,4cqu,563.0
1ha0,4cqv,569.0
1ha0,4cqw,569.0
1ha0,4cqx,569.0
1ha0,4cqy,569.0
1ha0,4cqz,563.0
1ha0,4lvh,230.0
1ha0,3qqo,537.0
1ha0,4f23,420.0
1ha0,4f3z,554.0
1ha0,4hmg,1684.0
1ha0,4cyz,658.0
1ha0,3fku,572.0
1ha0,3mlh,214.0
1ha0,4cyv,658.0
1ha0,4cyw,658.0
1ha0,3htq,574.0
1ha0,3htp,574.0
1ha0,2fk0,571.0
1ha0,4m4y,565.0
1ha0,4kvn,1376.0
1ha0,3hmg,1684.0
1ha0,4mhi,578.0
1ha0,3hto,574.0
1ha0,4mhj,578.0
1ha0,4fqy,1682.0
1ha0,2wrg,575.0
1ha0,2viu,1684.0
1ha0,4fqr,1682.0
1ha0,4hlz,537.0
1ha0,4fnk,1682.0
1ha0,4fqi,571.0
1ha0,4juh,594.0
1ha0,2wrc,527.0
1ha0,3znk,564.0
1ha0,5hmg,1690.0
1ha0,3znm,564.0
1ha0,3znl,564.0
1ha0,2wrb,527.0
1ha0,4ln8,597.0
1ha0,4hg4,546.0
1ha0,4ln6,597.0
1ha0,4lxv,582.0
1ha0,4eda,546.0
1ha0,4ln3,589.0
1ha0,4kw1,558.0
1ha0,4wa1,1577.0
1ha0,4wa2,1577.0
1ha0,3s11,560.0
1ha0,3s13,415.0
1ha0,3s12,553.0
1ha0,4hf5,537.0
1ha0,1jsm,560.0
1ha0,1jsn,560.0
1ha0,1jso,560.0
1ha0,1jsh,524.0
1ha0,1jsi,524.0
1ha0,1jsd,524.0
1ha0,3ubq,548.0
1ha0,3zpb,560.0
1ha0,4uo2,1478.0
1ha0,4jtv,539.0
1ha0,3sm5,572.0
1ha0,3sdy,1682.0
1ha0,3qqe,537.0
1ha0,4h32,442.0
1ha0,3qqb,537.0
1ha0,4jtx,565.0
1ha0,1rvz,549.0
1ha0,1rvx,549.0
1ha0,4kps,460.0
1ha0,1mql,1621.0
1ha0,4kpq,460.0
1ha0,4edb,562.0
1ha0,3lzg,557.0
1ha0,3lzf,587.0
1ha0,1rvt,598.0
1ha0,4bh2,563.0
1ha0,3eym,1690.0
1ha0,4hfu,546.0
1ha0,4bgw,564.0
1ha0,4gxx,605.0
1ha0,4bgz,529.0
1ha0,4bgy,564.0
1ha0,4bgx,564.0
1ha0,4f15,217.0
1ha0,4bh3,563.0
1ha0,1qfu,1690.0
1ha0,3zp6,560.0
1ha0,1mqm,1621.0
1ha0,3zp2,559.0
1ha0,3zp1,563.0
1ha0,3zp0,563.0
1ha0,4uo8,1455.0
1ha0,3m5i,595.0
1ha0,4uo9,1459.0
1ha0,4bh0,529.0
1ha0,4n64,597.0
1ha0,2wrf,530.0
1ha0,2wre,539.0
1ha0,2wrd,539.0
1ha0,4n60,597.0
1ha0,4n61,597.0
1ha0,4n62,597.0
1ha0,4n63,597.0
1ha0,4cr0,563.0
1ha0,1eo8,1690.0
1ha0,2wrh,583.0
1ha0,4cz0,658.0
1ha0,2yp5,1404.0
1ha0,4ln4,589.0
1ha0,4ju0,556.0
1ha0,1ti8,605.0
1ha0,1rd8,596.0
1ha0,3vun,1683.0
1ha0,2yp4,1404.0
1ha0,1ru7,549.0
1ha0,4dj6,607.0
1ha0,4dj7,607.0
1ha0,4bsi,605.0
1ha0,3m6s,573.0
1ha0,4o58,1583.0
1ha0,4bsf,597.0
1ha0,4dj8,607.0
1ha0,4bsd,592.0
1ha0,4bsc,592.0
1ha0,4bsb,592.0
1ha0,4bsa,592.0
1ha0,2wr7,527.0
1ha0,2wr5,543.0
1ha0,2wr4,543.0
1ha0,4i78,433.0
1ha0,2wr2,548.0
1ha0,2wr1,548.0
1ha0,2wr0,548.0
1ha0,4k65,549.0
1ha0,4k64,545.0
1ha0,4k67,549.0
1ha0,4py8,595.0
1ha0,4nm8,1682.0
1ha0,4k63,545.0
1ha0,4k62,545.0
1ha0,4bsg,605.0
1ha0,1mqn,1621.0
1ha0,3ku5,547.0
1ha0,3ku6,543.0
1ha0,4bse,597.0
1ha0,3ku3,537.0
1ha0,4lkj,591.0
1ha0,2hmg,1683.0
1ha0,4jug,594.0
1ha0,4fqv,597.0
1ha0,4o5i,1367.0
1ha0,4juk,537.0
1ha0,4juj,594.0
1ha0,4jum,532.0
1ha0,4jul,520.0
1ha0,4o5n,1367.0
1ha0,4jun,530.0
1ha0,1ken,1690.0
1ha0,4kdn,564.0
1ha0,4gxu,595.0
1ha0,2yp3,1404.0
1ha0,2yp2,1404.0
1ha0,4uny,1494.0
1ha0,4bh1,529.0
1ha0,2yp7,1399.0
1ha0,4n5k,597.0
1ha0,4n5j,597.0
1ha0,4uo0,1478.0
1ha0,4uo1,1478.0
1ha0,2yp9,1399.0
1ha0,4uo3,1482.0
1ha0,4uo4,1455.0
1ha0,4uo5,1455.0
1ha0,4uo6,1455.0
1ha0,4uo7,1455.0
1ha0,4lkg,581.0
1ha0,4n5y,578.0
1ha0,4n5z,572.0
1ha0,4lki,591.0
1ha0,4lkh,581.0
1ha0,4lkk,591.0
1ha0,3htt,574.0
1ha0,1hgf,1690.0
1ha0,1hgg,1690.0
1ha0,1hgd,1682.0
1ha0,1hge,1682.0
1ha0,4fiu,420.0
1ha0,4lcx,581.0
1ha0,3ubn,548.0
1ha0,1hgj,1690.0
1ha0,4bh4,563.0
1ha0,1hgh,1690.0
1ha0,1hgi,1690.0
1ha0,4unz,1494.0
1ha0,3eyk,1003.0
1ha0,4kon,597.0
1ha0,3eyj,1003.0
1ha0,2yp8,1399.0
1ha0,3ztj,1690.0
1ha0,4kwm,548.0
1ha0,4d00,658.0
1ha0,4k66,549.0
1ha0,3uyw,212.0
1ha0,4kdq,549.0
1ha0,2ibx,564.0
1ha0,3uyx,215.0
1ha0,3ube,548.0
1ha0,2ypg,1690.0
1ha0,3m5j,595.0
1ha0,4m5z,213.0
1ha0,3m5h,595.0
1ha0,3m5g,595.0
1ha0,4uoa,1458.0
1ha0,3ubj,548.0
1ha0,4bsh,605.0
1ha0,3gbm,571.0
1ha0,3gbn,595.0
1ha0,4gms,1583.0
1ha0,3r2x,587.0
1ha0,4fp8,1374.0
1ha0,4kdo,564.0
1ha0,3zp3,559.0
1ha0,4kdm,564.0
1ha0,4unx,1494.0
1ha0,4kth,545.0
1ha0,3al4,539.0
4eef,4cqp,1034.0
4eef,4cqq,1034.0
4eef,4cqr,1034.0
4eef,4cqs,1042.0
4eef,4cqt,1042.0
4eef,4cqu,1042.0
4eef,4cqv,1029.0
4eef,4cqw,1029.0
4eef,4cqx,1029.0
4eef,4cqy,1029.0
4eef,4cqz,1037.0
4eef,4lvh,883.0
4eef,3qqo,1098.0
4eef,4f23,769.0
4eef,4f3z,1508.0
4eef,4hmg,602.0
4eef,4cyz,603.0
4eef,3fku,1049.0
4eef,3mlh,843.0
4eef,4cyv,603.0
4eef,4cyw,603.0
4eef,3htq,1616.0
4eef,3htp,1616.0
4eef,2fk0,1057.0
4eef,4m4y,1504.0
4eef,4kvn,572.0
4eef,3hmg,602.0
4eef,4mhi,1071.0
4eef,3hto,1616.0
4eef,4mhj,1071.0
4eef,4fqy,604.0
4eef,2wrg,1713.0
4eef,2viu,589.0
4eef,4fqr,604.0
4eef,4hlz,1098.0
4eef,4fnk,604.0
4eef,4fqi,1057.0
4eef,4juh,1718.0
4eef,2wrc,1043.0
4eef,3znk,1041.0
4eef,5hmg,595.0
4eef,3znm,1041.0
4eef,3znl,1041.0
4eef,2wrb,1043.0
4eef,4ln8,537.0
4eef,4hg4,1083.0
4eef,4ln6,537.0
4eef,4lxv,1493.0
4eef,4eda,1477.0
4eef,4ln3,555.0
4eef,4kw1,1008.0
4eef,4wa1,599.0
4eef,4wa2,599.0
4eef,3s11,1047.0
4eef,3s13,820.0
4eef,3s12,1039.0
4eef,4hf5,1098.0
4eef,1jsm,1054.0
4eef,1jsn,1054.0
4eef,1jso,1054.0
4eef,1jsh,782.0
4eef,1jsi,782.0
4eef,1jsd,782.0
4eef,3ubq,1470.0
4eef,3zpb,1044.0
4eef,4uo2,598.0
4eef,4jtv,1469.0
4eef,3sm5,1389.0
4eef,3sdy,604.0
4eef,3qqe,1098.0
4eef,4h32,752.0
4eef,3qqb,1098.0
4eef,4jtx,1492.0
4eef,1rvz,1469.0
4eef,1rvx,1469.0
4eef,4kps,762.0
4eef,1mql,605.0
4eef,4kpq,762.0
4eef,4edb,1376.0
4eef,3lzg,1487.0
4eef,3lzf,1725.0
4eef,1rvt,1649.0
4eef,4bh2,1027.0
4eef,3eym,595.0
4eef,4hfu,1083.0
4eef,4bgw,1041.0
4eef,4gxx,1731.0
4eef,4bgz,1007.0
4eef,4bgy,1041.0
4eef,4bgx,1041.0
4eef,4f15,890.0
4eef,4bh3,1027.0
4eef,1qfu,595.0
4eef,3zp6,1044.0
4eef,1mqm,605.0
4eef,3zp2,1036.0
4eef,3zp1,1040.0
4eef,3zp0,1040.0
4eef,4uo8,616.0
4eef,3m5i,540.0
4eef,4uo9,617.0
4eef,4bh0,1007.0
4eef,4n64,537.0
4eef,2wrf,1057.0
4eef,2wre,1053.0
4eef,2wrd,1053.0
4eef,4n60,537.0
4eef,4n61,537.0
4eef,4n62,537.0
4eef,4n63,537.0
4eef,4cr0,1034.0
4eef,1eo8,595.0
4eef,2wrh,1586.0
4eef,4cz0,603.0
4eef,2yp5,585.0
4eef,4ln4,555.0
4eef,4ju0,1483.0
4eef,1ti8,548.0
4eef,1rd8,1734.0
4eef,3vun,597.0
4eef,2yp4,585.0
4eef,1ru7,1469.0
4eef,4dj6,550.0
4eef,4dj7,550.0
4eef,4bsi,555.0
4eef,3m6s,1512.0
4eef,4o58,585.0
4eef,4bsf,537.0
4eef,4dj8,550.0
4eef,4bsd,537.0
4eef,4bsc,537.0
4eef,4bsb,537.0
4eef,4bsa,537.0
4eef,2wr7,1043.0
4eef,2wr5,1067.0
4eef,2wr4,1067.0
4eef,4i78,743.0
4eef,2wr2,1061.0
4eef,2wr1,1061.0
4eef,2wr0,1061.0
4eef,4k65,1016.0
4eef,4k64,1031.0
4eef,4k67,1016.0
4eef,4py8,1742.0
4eef,4nm8,604.0
4eef,4k63,1031.0
4eef,4k62,1031.0
4eef,4bsg,555.0
4eef,1mqn,605.0
4eef,3ku5,1085.0
4eef,3ku6,1091.0
4eef,4bse,537.0
4eef,3ku3,1098.0
4eef,4lkj,537.0
4eef,2hmg,595.0
4eef,4jug,1718.0
4eef,4fqv,540.0
4eef,4o5i,579.0
4eef,4juk,1016.0
4eef,4juj,1718.0
4eef,4jum,1035.0
4eef,4jul,1018.0
4eef,4o5n,579.0
4eef,4jun,1026.0
4eef,1ken,595.0
4eef,4kdn,1028.0
4eef,4gxu,1742.0
4eef,2yp3,585.0
4eef,2yp2,585.0
4eef,4uny,583.0
4eef,4bh1,1007.0
4eef,2yp7,574.0
4eef,4n5k,537.0
4eef,4n5j,537.0
4eef,4uo0,598.0
4eef,4uo1,598.0
4eef,2yp9,574.0
4eef,4uo3,599.0
4eef,4uo4,616.0
4eef,4uo5,616.0
4eef,4uo6,616.0
4eef,4uo7,616.0
4eef,4lkg,538.0
4eef,4n5y,1051.0
4eef,4n5z,1045.0
4eef,4lki,537.0
4eef,4lkh,538.0
4eef,4lkk,537.0
4eef,3htt,1616.0
4eef,1hgf,595.0
4eef,1hgg,595.0
4eef,1hgd,595.0
4eef,1hge,595.0
4eef,4fiu,769.0
4eef,4lcx,538.0
4eef,3ubn,1470.0
4eef,1hgj,595.0
4eef,4bh4,1027.0
4eef,1hgh,595.0
4eef,1hgi,595.0
4eef,4unz,583.0
4eef,3eyk,558.0
4eef,4kon,530.0
4eef,3eyj,558.0
4eef,2yp8,574.0
4eef,3ztj,595.0
4eef,4kwm,1049.0
4eef,4d00,609.0
4eef,4k66,1016.0
4eef,3uyw,837.0
4eef,4kdq,1016.0
4eef,2ibx,1041.0
4eef,3uyx,827.0
4eef,3ube,1470.0
4eef,2ypg,595.0
4eef,3m5j,540.0
4eef,4m5z,850.0
4eef,3m5h,540.0
4eef,3m5g,540.0
4eef,4uoa,618.0
4eef,3ubj,1470.0
4eef,4bsh,555.0
4eef,3gbm,1057.0
4eef,3gbn,1742.0
4eef,4gms,585.0
4eef,3r2x,1725.0
4eef,4fp8,427.0
4eef,4kdo,1028.0
4eef,3zp3,1036.0
4eef,4kdm,1028.0
4eef,4unx,583.0
4eef,4kth,1040.0
4eef,3al4,1469.0
4cqp,4cqq,1735.0
4cqp,4cqr,1735.0
4cqp,4cqs,1720.0
4cqp,4cqt,1720.0
4cqp,4cqu,1720.0
4cqp,4cqv,1635.0
4cqp,4cqw,1635.0
4cqp,4cqx,1635.0
4cqp,4cqy,1635.0
4cqp,4cqz,1730.0
4cqp,4lvh,490.0
4cqp,3qqo,1227.0
4cqp,4f23,796.0
4cqp,4f3z,979.0
4cqp,4hmg,567.0
4cqp,4cyz,557.0
4cqp,3fku,1709.0
4cqp,3mlh,471.0
4cqp,4cyv,557.0
4cqp,4cyw,557.0
4cqp,3htq,1044.0
4cqp,3htp,1044.0
4cqp,2fk0,1709.0
4cqp,4m4y,995.0
4cqp,4kvn,543.0
4cqp,3hmg,567.0
4cqp,4mhi,1653.0
4cqp,3hto,1044.0
4cqp,4mhj,1653.0
4cqp,4fqy,559.0
4cqp,2wrg,1033.0
4cqp,2viu,558.0
4cqp,4fqr,559.0
4cqp,4hlz,1227.0
4cqp,4fnk,559.0
4cqp,4fqi,1709.0
4cqp,4juh,1052.0
4cqp,2wrc,1185.0
4cqp,3znk,1726.0
4cqp,5hmg,560.0
4cqp,3znm,1726.0
4cqp,3znl,1726.0
4cqp,2wrb,1185.0
4cqp,4ln8,554.0
4cqp,4hg4,1208.0
4cqp,4ln6,554.0
4cqp,4lxv,996.0
4cqp,4eda,985.0
4cqp,4ln3,547.0
4cqp,4kw1,1634.0
4cqp,4wa1,550.0
4cqp,4wa2,550.0
4cqp,3s11,1638.0
4cqp,3s13,1397.0
4cqp,3s12,1656.0
4cqp,4hf5,1227.0
4cqp,1jsm,1598.0
4cqp,1jsn,1598.0
4cqp,1jso,1598.0
4cqp,1jsh,750.0
4cqp,1jsi,750.0
4cqp,1jsd,750.0
4cqp,3ubq,989.0
4cqp,3zpb,1717.0
4cqp,4uo2,562.0
4cqp,4jtv,988.0
4cqp,3sm5,970.0
4cqp,3sdy,559.0
4cqp,3qqe,1227.0
4cqp,4h32,758.0
4cqp,3qqb,1227.0
4cqp,4jtx,994.0
4cqp,1rvz,1029.0
4cqp,1rvx,1029.0
4cqp,4kps,796.0
4cqp,1mql,565.0
4cqp,4kpq,796.0
4cqp,4edb,987.0
4cqp,3lzg,1006.0
4cqp,3lzf,1045.0
4cqp,1rvt,1057.0
4cqp,4bh2,1684.0
4cqp,3eym,560.0
4cqp,4hfu,1208.0
4cqp,4bgw,1726.0
4cqp,4gxx,1044.0
4cqp,4bgz,1638.0
4cqp,4bgy,1726.0
4cqp,4bgx,1726.0
4cqp,4f15,494.0
4cqp,4bh3,1684.0
4cqp,1qfu,560.0
4cqp,3zp6,1717.0
4cqp,1mqm,565.0
4cqp,3zp2,1716.0
4cqp,3zp1,1720.0
4cqp,3zp0,1720.0
4cqp,4uo8,563.0
4cqp,3m5i,499.0
4cqp,4uo9,563.0
4cqp,4bh0,1638.0
4cqp,4n64,554.0
4cqp,2wrf,1205.0
4cqp,2wre,1192.0
4cqp,2wrd,1191.0
4cqp,4n60,554.0
4cqp,4n61,554.0
4cqp,4n62,554.0
4cqp,4n63,554.0
4cqp,4cr0,1712.0
4cqp,1eo8,560.0
4cqp,2wrh,1029.0
4cqp,4cz0,557.0
4cqp,2yp5,535.0
4cqp,4ln4,547.0
4cqp,4ju0,1005.0
4cqp,1ti8,549.0
4cqp,1rd8,1034.0
4cqp,3vun,561.0
4cqp,2yp4,535.0
4cqp,1ru7,1029.0
4cqp,4dj6,576.0
4cqp,4dj7,576.0
4cqp,4bsi,568.0
4cqp,3m6s,996.0
4cqp,4o58,567.0
4cqp,4bsf,554.0
4cqp,4dj8,576.0
4cqp,4bsd,554.0
4cqp,4bsc,554.0
4cqp,4bsb,554.0
4cqp,4bsa,554.0
4cqp,2wr7,1185.0
4cqp,2wr5,1244.0
4cqp,2wr4,1244.0
4cqp,4i78,769.0
4cqp,2wr2,1262.0
4cqp,2wr1,1262.0
4cqp,2wr0,1262.0
4cqp,4k65,1621.0
4cqp,4k64,1645.0
4cqp,4k67,1621.0
4cqp,4py8,1034.0
4cqp,4nm8,559.0
4cqp,4k63,1645.0
4cqp,4k62,1645.0
4cqp,4bsg,568.0
4cqp,1mqn,565.0
4cqp,3ku5,1214.0
4cqp,3ku6,1220.0
4cqp,4bse,554.0
4cqp,3ku3,1227.0
4cqp,4lkj,542.0
4cqp,2hmg,560.0
4cqp,4jug,1052.0
4cqp,4fqv,566.0
4cqp,4o5i,536.0
4cqp,4juk,1628.0
4cqp,4juj,1052.0
4cqp,4jum,1622.0
4cqp,4jul,1625.0
4cqp,4o5n,536.0
4cqp,4jun,1642.0
4cqp,1ken,560.0
4cqp,4kdn,1696.0
4cqp,4gxu,1034.0
4cqp,2yp3,535.0
4cqp,2yp2,535.0
4cqp,4uny,553.0
4cqp,4bh1,1638.0
4cqp,2yp7,533.0
4cqp,4n5k,554.0
4cqp,4n5j,554.0
4cqp,4uo0,562.0
4cqp,4uo1,562.0
4cqp,2yp9,533.0
4cqp,4uo3,562.0
4cqp,4uo4,563.0
4cqp,4uo5,563.0
4cqp,4uo6,563.0
4cqp,4uo7,563.0
4cqp,4lkg,558.0
4cqp,4n5y,1691.0
4cqp,4n5z,1685.0
4cqp,4lki,542.0
4cqp,4lkh,558.0
4cqp,4lkk,542.0
4cqp,3htt,1044.0
4cqp,1hgf,560.0
4cqp,1hgg,560.0
4cqp,1hgd,560.0
4cqp,1hge,560.0
4cqp,4fiu,796.0
4cqp,4lcx,558.0
4cqp,3ubn,989.0
4cqp,1hgj,560.0
4cqp,4bh4,1684.0
4cqp,1hgh,560.0
4cqp,1hgi,560.0
4cqp,4unz,553.0
4cqp,3eyk,573.0
4cqp,4kon,535.0
4cqp,3eyj,573.0
4cqp,2yp8,533.0
4cqp,3ztj,560.0
4cqp,4kwm,1648.0
4cqp,4d00,549.0
4cqp,4k66,1621.0
4cqp,3uyw,478.0
4cqp,4kdq,1648.0
4cqp,2ibx,1726.0
4cqp,3uyx,481.0
4cqp,3ube,989.0
4cqp,2ypg,560.0
4cqp,3m5j,499.0
4cqp,4m5z,482.0
4cqp,3m5h,499.0
4cqp,3m5g,499.0
4cqp,4uoa,566.0
4cqp,3ubj,989.0
4cqp,4bsh,568.0
4cqp,3gbm,1709.0
4cqp,3gbn,1034.0
4cqp,4gms,567.0
4cqp,3r2x,1045.0
4cqp,4fp8,401.0
4cqp,4kdo,1696.0
4cqp,3zp3,1716.0
4cqp,4kdm,1696.0
4cqp,4unx,553.0
4cqp,4kth,1625.0
4cqp,3al4,988.0
4cqq,4cqr,1735.0
4cqq,4cqs,1720.0
4cqq,4cqt,1720.0
4cqq,4cqu,1720.0
4cqq,4cqv,1635.0
4cqq,4cqw,1635.0
4cqq,4cqx,1635.0
4cqq,4cqy,1635.0
4cqq,4cqz,1730.0
4cqq,4lvh,490.0
4cqq,3qqo,1227.0
4cqq,4f23,796.0
4cqq,4f3z,979.0
4cqq,4hmg,567.0
4cqq,4cyz,557.0
4cqq,3fku,1709.0
4cqq,3mlh,471.0
4cqq,4cyv,557.0
4cqq,4cyw,557.0
4cqq,3htq,1044.0
4cqq,3htp,1044.0
4cqq,2fk0,1709.0
4cqq,4m4y,995.0
4cqq,4kvn,543.0
4cqq,3hmg,567.0
4cqq,4mhi,1653.0
4cqq,3hto,1044.0
4cqq,4mhj,1653.0
4cqq,4fqy,559.0
4cqq,2wrg,1033.0
4cqq,2viu,558.0
4cqq,4fqr,559.0
4cqq,4hlz,1227.0
4cqq,4fnk,559.0
4cqq,4fqi,1709.0
4cqq,4juh,1052.0
4cqq,2wrc,1185.0
4cqq,3znk,1726.0
4cqq,5hmg,560.0
4cqq,3znm,1726.0
4cqq,3znl,1726.0
4cqq,2wrb,1185.0
4cqq,4ln8,554.0
4cqq,4hg4,1208.0
4cqq,4ln6,554.0
4cqq,4lxv,996.0
4cqq,4eda,985.0
4cqq,4ln3,547.0
4cqq,4kw1,1634.0
4cqq,4wa1,550.0
4cqq,4wa2,550.0
4cqq,3s11,1638.0
4cqq,3s13,1397.0
4cqq,3s12,1656.0
4cqq,4hf5,1227.0
4cqq,1jsm,1598.0
4cqq,1jsn,1598.0
4cqq,1jso,1598.0
4cqq,1jsh,750.0
4cqq,1jsi,750.0
4cqq,1jsd,750.0
4cqq,3ubq,989.0
4cqq,3zpb,1717.0
